track_name,artist_names,spotify_streams,isrc,all_time_rank,track_score
industry baby (feat. jack harlow),lil nas x,2014959725,USSM12104539,110,145.3
pedro,jaxomy,168145583,DEE862400427,111,144.6
fast car,luke combs,518988585,US6XF2200436,112,144.5
bling-bang-bang-born,creepy nuts,247399972,JPU902305042,113,144.0
aesthetic,tollan kim,5712985,SGB502208576,114,144.0
sunflower - spider-man: into the spider-verse,post malone,3358704125,USUM71814888,116,143.9
hands,dianï¿½,126914,GBKPL2205333,115,143.9
saturn,sza,343090427,USRC12400216,117,142.8
believer,imagine dragons,3006226762,USUM71700626,119,142.2
wait for u (feat. drake & tems),future,787155930,USSM12203789,120,141.0
i know ?,travis scott,532605345,USSM12305012,121,139.5
ando,jere klein,292789738,QMDA72363047,122,139.0
first class,jack harlow,818858244,USAT22203024,123,138.6
fe!n,travis scott,659010786,USSM12305010,124,137.8
save your tears - live,the weeknd,3913988,USUG12301493,125,137.7
losing interest - original mix,goovex,126247886,CA5KR2465999,126,136.4
i ain't worried,onerepublic,1607421145,USUM72206227,127,136.2
mi ex tenï¿½ï¿½a ra,karol g,438796949,USUG12305253,128,136.2
drained of color,exhumed,158627,US2642250302,129,134.0
mood (feat. iann dior),24kgoldn,1867736006,USQX92003025,130,133.0
dynamite,bts,1872577908,QM7282022872,131,132.3
looking like a wow end of year 2023,wasteland,8327,GXBAV2381801,132,130.7
someone you loved,lewis capaldi,3427498835,DEUM71807062,133,129.7
acrï¿½ï¿½s,shakira,230849195,USQX92302824,134,129.6
made you look,meghan trainor,720720922,USSM12204574,135,129.5
phonk brasileiro fresco (slowed + reverb),dj moigus,1378494,QZMEQ2306756,136,129.4
"sooseki (from ""pushpa 2 the rule"") [telugu]",shreya ghoshal,2827545,INS182401602,137,129.1
vampire,olivia rodrigo,998964097,USUG12304091,138,128.9
casca de bala,thullio milionï¿½ï¿,37157630,BCAEW2400001,139,128.5
back,lola,48428,UKQNV2100272,140,128.0
people,libianca,631955547,QZTB52268087,141,127.8
lady killers ii (christoph andersson remix),g-eazy,94635338,TCAIA2495220,143,127.3
i don't wanna wait,david guetta,114574238,UKWLG2400013,144,126.9
abc,j ross,31867,CLLU22300585,145,126.6
la bachata,manuel turizo,1721045197,QZDYA1800087,146,126.2
ýýýýýýýýýýýýýýýýýýýýý,fli:p,8028757,FRX282306294,147,125.4
peaches (feat. daniel caesar & giveon),justin bieber,1612286123,USUM72102636,148,125.2
don't start now,dua lipa,2607121959,GBAHT1901121,149,124.6
lucid dreams,juice wrld,2548389305,USUG11800685,150,123.9
provenza,karol g,1185929926,USUM72205906,151,123.8
wap (feat. megan thee stallion),cardi b,1325725696,USAT22005111,152,123.4
spot!,zico,77757035,USA2P2421932,153,122.8
family matters,drake,72335127,USUG12402984,154,122.7
again,kurochuu,136237285,CA5KR2466577,155,122.5
seven (feat. latto) (explicit ver.),jung kook,1673557134,USA2P2330093,156,122.4
last night,morgan wallen,922010059,USUG12300802,157,121.9
bad habits,ed sheeran,1754311538,GBAHS2100318,159,120.8
qlona,karol g,850810162,USUG12305257,160,120.7
leave the door open,bruno mars,1312168384,USAT22100906,161,120.1
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),548408,JPKI02118106,162,119.5
good 4 u,olivia rodrigo,2167768056,USUG12101245,163,117.8
bad guy,billie eilish,2516804300,USUM71900764,164,117.7
seï¿½ï¿½o,shawn mendes,2738293818,USUM71911283,165,117.6
despechï¿,rosalï¿½,1003487432,USSM12207207,166,116.9
rockstar (feat. roddy ricch),dababy,1638836101,USUM72007941,167,116.7
eyes closed,ed sheeran,372423476,GBAHS2201304,168,116.6
i remember everything (feat. kacey musgraves),zach bryan,630373315,USWB12304903,169,116.5
circles,post malone,2481391466,USUM71915699,170,116.0
el amor de su vida,grupo frontera,474590289,DGA062382895,171,115.9
about damn time,lizzo,847025688,USAT22202139,172,115.6
closer,the chainsmokers,2880536961,USQX91601347,173,114.6
flower,jisoo,440364356,KRA402300002,174,114.3
perro negro,bad bunny,689181455,QMFME2364199,175,114.2
rich baby daddy (feat. sexyy red & sza),drake,372248119,USUG12306085,176,113.2
havana (feat. young thug),camila cabello,2072182782,USSM11706905,177,112.8
luna,feid,606124553,USUM72318216,178,112.6
i like you (a happier song) (with doja cat),post malone,827950825,USUM72208023,179,112.5
bones,imagine dragons,1227475431,USUM72201759,180,112.0
segï¿½ï¿½n qu,maluma,571366508,USSD12300400,182,111.8
selfish,justin timberlake,92932220,USRC12400001,181,111.8
golden hour,jvke,1126986320,GBKPL2204171,183,111.4
levitating (feat. dababy),dua lipa,2074721986,GBAHT2000942,184,111.3
get it sexyy,sexyy red,89362910,QZSYP2454435,185,111.1
"this wish - from ""wish""",ariana debose,26674909,USWD12328242,186,110.9
idgaf (feat. yeat),drake,406875019,USUG12306072,187,110.8
ojitos lindos,bad bunny,1421763497,QM6MZ2214888,188,110.7
life is good (feat. drake),future,1237874594,USSM11914962,189,110.2
escapism.,raye,804925777,QMDA62217995,190,110.1
stargazing,myles smith,106599323,GBARL2400510,191,109.8
jimmy cooks (feat. 21 savage),drake,971473231,USUG12204897,192,109.7
what you know bout love,pop smoke,1125681368,USUM72013339,193,109.5
memories,maroon 5,2011072164,USUM71913350,194,109.3
classy 101,feid,872148396,USUM72304895,195,109.1
whatever,kygo,222354971,USRC12302637,196,109.0
whatever she wants,bryson tiller,207093873,USRC12400299,197,108.4
vois sur ton chemin - techno mix,bennett,361517395,DEA622301801,198,107.8
"yes, and?",ariana grande,416813996,USUM72400048,199,107.5
without me,halsey,2042792456,USUM71813499,200,107.4
meet the grahams,kendrick lamar,65520394,USUG12400909,201,107.3
first person shooter (feat. j. cole),drake,328526298,USUG12306071,202,107.1
shallow,lady gaga,2447973078,USUM71813192,204,106.9
thunder,imagine dragons,2384768901,USUM71704167,203,106.9
rush,ayra starr,371886608,NGA3B2216004,205,106.4
abcdefu,gayle,1128273165,USAT22103652,206,106.2
buga,kizz daniel,86516910,USUYG1425645,208,105.8
bad habit,steve lacy,1087938471,USRC12201440,207,105.8
money,lisa,1189335848,KRA402100099,210,105.5
columbia,quevedo,721002940,BK4DA2310533,209,105.5
lady gaga,peso pluma,684204777,QM7282306246,212,105.2
woman,doja cat,1606950381,USRC12101532,211,105.2
cuff it,beyoncï¿,795960535,USSM12206232,213,104.9
king kong,treasure,8078265,KRA402400030,214,104.5
how you like that,blackpink,1033109188,KRA402000111,215,104.5
milf song,the puddleducks,1165982,QZMEP2285895,216,104.5
nasty,tinashe,31612906,USLD91757578,217,104.4
superhero (heroes & villains),metro boomin,706356280,USUG12208783,218,104.4
panda,desiigner,1181348550,USUM71601094,219,104.2
push ups,drake,107762230,USUG12402283,220,103.9
tattoo,loreen,518846340,SEUM72201638,221,103.9
kiss me more (feat. sza),doja cat,1823871908,USRC12100543,222,103.4
what it is (block boy) (with kodak black),doechii,102772879,USUG12301757,223,103.3
illusion,dua lipa,108501771,GBAHT2400114,225,103.1
drivers license,olivia rodrigo,2184754018,USUG12004749,226,102.9
used to be young,miley cyrus,205468104,USSM12306461,227,102.4
cupid - twin ver.,fifty fifty,861388470,KSA012239181,229,102.3
how sweet,newjeans,33595707,USA2P2414843,228,102.3
players,coi leray,465588517,USUM72222387,230,101.8
rockstar (feat. 21 savage),post malone,2960046642,USUM71710087,231,101.8
lil somethin somethin,vayah,11648,QZDA72340256,232,101.5
con calma,daddy yankee,1353028938,US2BU1900125,236,101.4
here with me,d4vd,1042311849,QZMEM2209263,234,101.4
favorite song,toosii,186579651,USUM72301797,235,101.4
si no quieres no,luis r conriquez,158131138,US3DF2417042,233,101.4
mele kalikimaka,bing crosby,186123398,ES31E2401197,237,101.3
montero (call me by your name),lil nas x,1902241314,USSM12100531,238,100.8
voz emplumada del monte,biomigrant,42761,QZ5FN2369288,239,100.3
is it over now? (taylor's version) (from the vault),taylor swift,406821432,USUG12306691,240,100.2
si no estï¿½,iï¿½ï¿½igo quin,665716137,TCAGM2208561,241,100.1
glimpse of us,joji,1262308912,USWB12201789,242,99.8
watermelon sugar,harry styles,2708151499,USSM11912587,243,99.7
corazï¿½ï¿½n de pi,xavi,172164034,USA2P2414894,244,98.8
praise jah in the moonlight,yg marley,298853393,CH7811111177,245,98.5
where she goes,bad bunny,717849037,QM6P42334528,246,98.4
yandel 150,yandel,837576264,QMFMF2215173,247,98.1
thats what i want,lil nas x,1062095453,USSM12105732,248,98.0
todo de ti,rauw alejandro,1339352060,USSD12100202,249,98.0
chemical,post malone,503574147,USUM72305205,250,97.6
see you again (feat. charlie puth),wiz khalifa,1891920348,USAT21703595,251,97.6
drip too hard (lil baby & gunna),lil baby,1486929795,USUG11801811,252,97.5
shooting star,kep1er,1534062,KRA492400678,253,97.3
uptown funk,mark ronson,1993030264,GBARL1401524,254,97.1
love nwantiti (ah ah ah),ckay,853451422,QMEU31910213,256,96.9
mi gente,j balvin,1478442472,FR22F1701790,257,96.4
late night talking,harry styles,959639297,USSM12200610,258,96.4
miss you,oliver tree,631378937,USAT22211992,261,96.2
girls like me don't cry,thï¿½ï,69931412,QZLBC2200766,260,96.2
yummy fruits and vegetables,d billions,2300838,AEA0D2036458,259,96.2
dakiti,bad bunny,1977947460,QMFME2004132,262,96.1
starboy,the weeknd,3291262413,USUG11600976,265,95.7
sorry,justin bieber,2089476497,USUM71516760,264,95.7
calling my phone,lil tjay,777064903,USSM12100388,263,95.7
pink venom,blackpink,736469450,KRA402200017,266,95.6
i can do it with a broken heart,taylor swift,250430303,USUG12401040,267,95.0
death bed (coffee for your head),powfu,1656385770,USSM12000925,268,94.8
too many nights (feat. don toliver & with future),metro boomin,682837690,USUG12208784,269,94.5
meltdown (feat. drake),travis scott,347647880,USSM12305021,270,94.3
moscow mule,bad bunny,1108031580,QM6MZ2214875,272,94.1
something just like this,the chainsmokers,2596644721,USQX91700278,273,94.0
7 rings,ariana grande,2262490403,USUM71900110,274,93.9
moonlight,kali uchis,701558859,USUM72219486,275,93.1
savage love (laxed - siren beat),jawsh 685,1118038333,USSM12003798,276,93.1
bidi bidi bom bom (remasterizado 2024/30th anniversary),selena,58157068,USUM72402910,277,93.0
god's plan,drake,2529948475,USCM51800004,278,92.9
sunroof,nicky youre,879708559,QM24S2107064,279,92.3
la vï¿½ï¿½c,xavi,521116293,USA2P2339944,280,92.0
my eyes,travis scott,403132906,USSM12305007,281,91.9
work,ateez,10135326,KRD442400011,282,91.7
despacito - remix,luis fonsi,1713294983,USUM71703825,284,91.5
ghost,justin bieber,1586830204,USUM72102635,283,91.5
dior,pop smoke,1070422470,USUM71914275,285,91.4
new baby shark,pinkfong,720822868,QMDA62210237,286,91.2
breakeven,the script,858979483,GB1102400418,287,91.1
una noche en medellï¿½,cris mj,839405565,QM4TW2218961,288,90.7
sad!,xxxtentacion,2218531106,USUG11800208,289,90.5
primera cita,carin leon,598006591,QZQMB2104890,290,90.5
efecto,bad bunny,1293773697,QM6MZ2214884,292,90.1
bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os que nï¿½ï¿½o tï¿½ï¿½m fim (co,isadora pompeo,95536146,BRSME2301957,293,89.6
slow it down,benson boone,202667139,USWB12400913,294,89.4
yonaguni,bad bunny,1398634184,QM6P42169803,295,88.6
heathens,twenty one pilots,1777196966,USAT21601930,296,88.6
whoopty,cj,775664145,USA2P2031043,297,88.6
super shy,newjeans,547471596,USA2P2330068,298,88.4
happier,marshmello,2143821605,USUG11801651,299,87.9
harley quinn,fuerza regida,462284590,QZ9QQ2300781,301,87.7
baby don't hurt me,david guetta,509231024,UKWLG2300016,300,87.7
butter,bts,1257974135,QM6MZ2156864,302,87.5
cinderella,future,124945674,USSM12402037,304,87.2
calma - remix,pedro capï¿,1153753974,USSD11800343,303,87.2
"can't stop the feeling! (original song from dreamworks animation's ""trolls"")",justin timberlake,1733302434,USRC11600876,305,87.1
say so,doja cat,1199270601,USRC11903454,306,87.0
ransom,lil tecca,1355971796,QZ85M1940160,307,86.8
romantic homicide,d4vd,1136504636,QZMEM2232831,308,86.8
pink skies,zach bryan,60240739,USWB12401947,309,86.7
rockabye (feat. sean paul & anne-marie),clean bandit,1528107667,GBAHS1600363,310,86.6
rich men north of richmond,oliver anthony music,214598468,QZPLS2305267,312,86.5
beso,rosalï¿½,647201484,USSM12301258,313,86.3
mtg quem nï¿½ï¿½o quer so,dj topo,51198446,BXIV82456543,315,86.1
que vuelvas,carin leon,684853927,QZWT32210000,314,86.1
just wanna rock,lil uzi vert,665519026,USAT22219211,318,85.8
mood swings (feat. lil tjay),pop smoke,785016247,USUM72013632,317,85.8
fuck love (feat. trippie redd),xxxtentacion,1615274494,USUYG1156898,319,85.6
rich flex,drake,812274757,USUG12208598,320,85.5
standing next to you,jung kook,675865902,USA2P2348391,321,85.5
congratulations,post malone,1984802459,USUM71614484,322,85.3
do it to it,acraze,805019111,QZFPL2100100,324,85.2
tusa,karol g,1497511486,USUM71921183,323,85.2
for the night (feat. lil baby & dababy),pop smoke,1119350842,USUM72013355,325,84.8
good good,usher,53825007,QZS7J2331813,326,84.7
austin,dasha,273023490,QZTB92360479,327,84.6
search & rescue,drake,337858357,USUG12301601,329,84.6
tulum,peso pluma,390182196,QM7282325573,328,84.6
shivers,ed sheeran,1568058093,GBAHS2100671,330,84.4
coup du marteau,tam sir,24933240,DGA0Q2357844,331,84.3
adderall (corvette corvette),popp hunna,90383224,USA2P2036916,332,84.1
full senyum sayang,evan loss,18296870,SGB502213458,333,84.0
los del espacio,lit killah,373898429,USWL12300725,336,83.3
taste (feat. offset),tyga,1358105253,USUYG1198481,338,83.1
mamiii,becky g,911797058,USRC12200425,337,83.1
until i found you,stephen sanchez,1020452066,USUG12103651,339,83.0
exes,tate mcrae,323100055,USRC12302756,340,83.0
banana (feat. shaggy),conkarah,27747363,QMRSZ1901446,341,82.7
stick season,noah kahan,965865213,USUM72212470,342,82.6
need to know,doja cat,1178076856,USRC12101120,344,82.5
kompa pasiï¿½,ýýýýýýýýýý,29458027,USUS12400227,345,82.5
quï¿½ï¿½ ago,yuridia,394381902,MXF012200200,343,82.5
last last,burna boy,410722289,USAT22204901,346,82.4
ngopi maszeh,happy asmara,8034198,SGB502314277,347,82.2
500lbs,lil tecca,350584176,USUM72309854,349,82.1
knife talk (with 21 savage ft. project pat),drake,732652170,USUG12104409,348,82.1
billie eilish.,armani white,359416593,SGB502248062,350,82.0
ýýýýýýýýýýýý,yoasobi,356559943,JPP302300157,351,81.8
lï¿½ï¿½ï¿½amour de,billie eilish,84575291,USUM72401990,352,81.6
thinkinï¿½ï¿½ï¿½ b,morgan wallen,406319778,USUG12300821,353,81.5
madonna,natanael cano,272838329,QZ9QQ2400185,354,81.3
deja vu,olivia rodrigo,1606975517,USUG12101240,355,81.3
6. a.m.,azul,1186,ES40B2200055,356,81.1
contigo (with tiï¿½ï¿½,karol g,162165853,USUG12400966,357,81.0
sequï¿½ï¿½ncia da,trashxrl,148630357,SGB502370315,358,80.8
wildflower,billie eilish,100838516,USUM72401993,359,80.8
doja,central cee,676519766,ZZOPM2237319,360,80.5
kill this love,blackpink,820840650,KRA401900005,361,80.4
lan,zeynep bastï¿½,81246715,TRAUR2400004,362,80.3
"good luck, babe!",chappell roan,176290078,USUG12401967,363,80.2
sweet but psycho,ava max,1668741024,USAT21802011,365,80.1
hey mor,ozuna,986132265,QMDA62203322,364,80.1
ferrari,james hype,626010147,GB3CE2200004,366,80.1
falling,trevor daniel,1606023895,USUYG1221109,367,80.0
positions,ariana grande,1432830108,USUM72019412,368,80.0
where are you now,lost frequencies,1223329465,BEHP42100067,370,79.9
amor prohibido - remasterizado 2024/30th anniversary,selena,302177116,USUM72402905,369,79.9
save your tears,the weeknd,1995511952,USUG12000658,371,79.9
happier than ever,billie eilish,1321878145,USUM72105936,372,79.9
this is what you came for,calvin harris,1746790923,GBARL1600460,373,79.8
china,anuel aa,1178076574,QM6P41952433,376,79.5
"let it go - from ""frozen""/soundtrack version",idina menzel,759374819,USWD11366376,374,79.5
moonlight,xxxtentacion,1885431727,USUG11800209,375,79.5
smart,le sserafim,159256689,USA2P2402103,379,79.3
that's what i like,bruno mars,2075459887,USAT21602948,378,79.3
commando,mavokali,21667023,QZTVM2210964,380,78.6
the business,tiï¿½ï¿,1191635193,CYA112000624,381,78.3
ride it,regard,1349427877,GBCEN1900047,382,78.2
mwaki,zerb,121234000,NLRD52339318,383,77.9
bichota,karol g,868091483,USUM72019324,385,77.8
renklensin,reynmen,54940563,FRX282477628,384,77.8
bad idea,kurochuu,86203995,CA5KR2466578,387,77.6
the hills,the weeknd,2306740926,USUG11500737,388,77.5
seven (feat. latto) (clean ver.),jung kook,1673557134,USA2P2330092,389,77.4
skinny,billie eilish,77212437,USUM72401995,390,77.3
te felicito,shakira,719593291,USQX92201764,392,77.0
que onda,calle 24,642548537,USDXS2303230,393,76.9
stumblin' in,cyril,180784576,NLZ542301810,394,76.9
star walkin' (league of legends worlds anthem),lil nas x,428164381,USSM12208809,396,76.6
desesperados,rauw alejandro,1021480638,USSD12100779,397,76.6
"young miko: bzrp music sessions, vol. 58",bizarrap,224033701,UYB282401001,398,76.6
sugar,maroon 5,1838092894,USUM71410340,399,76.6
i donï¿½ï¿½ï¿½t wanna do this a,juliï¿½ï¿½n kh,564444844,QZLL92480334,454,76.5
igual que un ï¿½ï¿½ngel (with peso pl,kali uchis,263568994,USUM72315072,400,76.3
"jhoome jo pathaan (from ""pathaan"") [arabic version]",abd el fattah grini,1993244,INY092300003,402,76.2
old town road - remix,lil nas x,1527106099,USSM11902498,404,76.2
let me love you,dj snake,2147028486,QMZSY1600015,403,76.2
envolver,anitta,635241142,USWL12100576,401,76.2
oublie-moi,emkal,17992999,FRDDV2200780,405,76.0
malohat,xamdam sobirov,75486,RUA1D2459522,406,75.9
maestro,seventeen,35244286,USA2P2415975,407,75.7
nueva vida,peso pluma,253464894,QM7282306253,408,75.6
you broke me first,tate mcrae,1439465700,USRC12000832,409,75.6
relationship (feat. future),young thug,458957128,USAT21701747,410,75.5
beggin',mï¿½ï¿½ne,1601293263,ITB001700846,413,75.4
faint,linkin park,670009914,USWB12401896,412,75.4
pretty - sped up,meyy,1867282,FRD9M2300690,411,75.4
hawï¿½,maluma,1289186767,USSD12000190,415,75.3
la falda,myke towers,367399860,USWL12302952,416,75.3
act ii: date @ 8,4batz,153364964,QZS7J2359132,414,75.3
cradles,sub urban,737097685,GB2LD1800949,418,75.2
roses - imanbek remix,saint jhn,1927961994,RUB421901499,417,75.2
angel numbers / ten toes,chris brown,179565178,USRC12302900,419,75.1
never lose me,flo milli,278132516,USRC12303379,420,75.1
reggaeton champagne,bellakath,224429894,BK4DA2319233,421,75.1
masha ultrafunk,histed,32435333,QZES82406061,422,74.9
under the influence,chris brown,1249760413,USRC11902743,423,74.9
life goes on,oliver tree,568230113,USAT22007153,424,74.8
si una vez (remasterizado 2024/30th anniversary),selena,212272036,USUM72402913,425,74.7
batter up,babymonster,121497542,KRA402300048,426,74.5
si no es contigo,cris mj,45287928,QM6N22466972,427,74.5
trance (with travis scott & young thug),metro boomin,637325281,USUG12208787,429,74.4
rock and a hard place,bailey zimmerman,412845771,USWB12201797,430,74.4
obsessed,olivia rodrigo,129968407,USUG12305564,428,74.4
eyes closed,imagine dragons,51224852,USUM72402448,431,74.2
wanna be,glorilla,66836198,USUM72403374,433,74.1
don't let me down,the chainsmokers,1888829482,USQX91600011,432,74.1
ddu-du ddu-du,blackpink,701726499,KRA401800096,434,74.0
telepatï¿½,kali uchis,1151629030,GBUM72005748,435,73.9
wake me up,avicii,2325017580,SEUM71301326,436,73.7
overdrive (feat. norma jean martine),ofenbach,232417498,FR9W12347222,437,73.6
chulo pt.2,bad gyal,318567928,USUM72305143,438,73.6
all girls are the same,juice wrld,1615353665,USUG11800651,439,73.5
push up - main edit,creeds,274229438,DEE862300564,441,73.4
kings & queens,ava max,955439608,USAT21906943,440,73.4
adore you,harry styles,1670164200,USSM11912588,442,73.2
highest in the room,travis scott,1625149693,USSM11904276,443,73.2
unavailable (feat. musa keys),davido,155390490,GBARL2300322,444,73.2
million dollar baby (vhs),tommy richman,48720820,QM24S2402634,445,73.1
"taki taki (feat. selena gomez, ozuna & cardi b)",dj snake,1570233605,USUG11802029,446,73.0
"chaleya (from ""jawan"")",anirudh ravichander,334578317,INS182302348,447,73.0
dreamers [music from the fifa world cup qatar 2022 official soundtrack],jung kook,419016792,QZNMY2232113,448,73.0
adivino,myke towers,118631919,USWL12401327,449,72.9
the box medley funk 2,the box,51390127,BKF5C2400003,450,72.8
cruel summer,taylor swift,2188247133,USUG11901472,451,72.8
no me queda mï¿½ï¿½s (remasterizado 2024/30th annivers,selena,171242868,USUM72402906,452,72.7
breathe,yeat,131100973,USUM72401623,453,72.7
unforgettable,french montana,2065697126,USSM11703478,454,72.6
easy,le sserafim,141803939,USA2P2402101,455,72.4
"peso pluma: bzrp music sessions, vol. 55",bizarrap,434019386,UYB282301034,456,72.2
faded,benjamin richter,120162,DEE861701287,458,72.0
lose my breath (feat. charlie puth),stray kids,29994527,US5TA2400074,457,72.0
ýýýýýýýýýý ýýýýýýýýýýýý,alex&rus,52830200,QM6N21999015,460,71.9
move,adam port,5917083,DEEC33501508,459,71.9
f.n,lil tjay,731933924,USSM11904899,461,71.7
say you won't let go,james arthur,2830962669,DEE861600586,462,71.5
